text,label
"SQ *SQ *MILDRED NEW YO, NEW YORK     NY, REF NO 5xx3286PX5SH8NG2H, TRAN CD 253 SIC CD 7230",LIFESTYLE
"PAYMENT - THANK YOU, , REF NO 8xxxx3102EHN5K8VT, TRAN CD 271 SIC CD 6010",TRANSFER
"WHOLEFDS WBG#x0487, BROOKLYN     NY, REF NO 0xxxxxxx2003JD7YB, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"BROOKLYN HARVEST MAR, BROOKLYN     NY, REF NO 0xxxx4801LYJ4XLY9, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"CAFE COLETTE, BROOKLYN     NY, REF NO 8xxxx3101LBZ86A5M, TRAN CD 253 SIC CD 5812",ENTERTAINMENT
"LYFT   *RIDE TUE 12AM, xxxxxx0278   CA, REF NO 5xxxx5001JHNDB92X, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"DEPOSIT FROM HSBC CREDIT,            CARD-CASH BACK, YPExx3829, SYSTEM GENERATED 2xxx-x1-02T00:00:00.000Z",MISC
"DEPOSIT FROM HSBC CREDIT,            CARD-CASH BACK, YPExx3828, SYSTEM GENERATED 2xxx-x1-02T00:00:00.000Z",MISC
"ONLINE TRANSFER TO,            CARD xxxx xxxx xxxx 3487,            ON 01/02/2019,            HIB- 9xxx1887XSPFB3TGVW, IBxxx7944, INTERNET BANKING 2xxx-x1-02T00:00:00.000Z",TRANSFER
"ONLINE TRANSFER FROM,            SAV xxxxx1063,            ON 01/02/2019,            HIB- 9xxx1887XSPFA0RBQQ, IBxxx7947, INTERNET BANKING 2xxx-x1-02T00:00:00.000Z",TRANSFER
"ONLINE TRANSFER TO,            CHK xxxxx8911,            ON 01/02/2019,            HIB- 9xxx1887XSPFA0RBQQ, IBxxx7947, INTERNET BANKING 2xxx-x1-02T00:00:00.000Z",TRANSFER
"RIDESHARE BENEFIT, , REF NO Fxxxxxxx3000R2999, TRAN CD 271 SIC CD 5999",LIVING-EXPENSES
"SQU*SQ *DR SMOOD LEXIN, NEW YORK     NY, REF NO 5xxxxx6025SX6SSPL, TRAN CD 253 SIC CD 5812",MISC
"MEDIUM ANNUAL, xxxxxxx5008  CA, REF NO 5xxxx5003JHT6DK0Z, TRAN CD 253 SIC CD 8999",SUBSCRIPTION
"PAYMENT TO LEVEL POWER,            AND-WEB PMTS, YPExx6955, SYSTEM GENERATED 2xxx-x1-03T00:00:00.000Z",LIVING-EXPENSES
"PAYMENT TO 2 NORTH 6TH,            PLAC-WEB PMTS, YPExx6954, SYSTEM GENERATED 2xxx-x1-03T00:00:00.000Z",LIVING-EXPENSES
"SHAPESCALE.COM, xxxxxx2612   CA, REF NO 5xxxx5003JH856H1H, TRAN CD 255 SIC CD 5734",MISC
"BROOKLYN HARVEST MAR, BROOKLYN     NY, REF NO 0xxxx4803LYJ9YH88, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"ZIPCAR INC., xxxxxx7227   MA, REF NO 5xxxxx2045SVNBL0E, TRAN CD 253 SIC CD 4789",LIVING-EXPENSES
"ZIPCAR INC., xxxxxx7227   MA, REF NO 5xxxxx2045V1XS3JX, TRAN CD 253 SIC CD 4789",LIVING-EXPENSES
"SHAPESCALE.COM, xxxxxx2612   CA, REF NO Fxxxxxxx4000IXFRT, TRAN CD 255 SIC CD 5734",MISC
"CREDIT REVERSAL, , REF NO Fxxxxxxx4000IXFRF, TRAN CD 258 SIC CD 5734",MISC
"SEAMLSSALLABOUTINDIAN, xxxxxx1020   IL, REF NO 5xxxx5004LS84H0PQ, TRAN CD 253 SIC CD 5811",LIVING-EXPENSES
"AMZN MKTP US*M286X67Y2, AMZN.COM/BILLWA, REF NO 5xxxxx6045SDPVWSB, TRAN CD 253 SIC CD 5942",TRANSFER
"SQU*SQ *DR SMOOD LEXIN, NEW YORK     NY, REF NO 5xxxxx6045SDR0FGQ, TRAN CD 253 SIC CD 5812",MISC
"NYCTAXI9C87, LONG ISLAND CNY, REF NO 0xxxxx9042L3VAD8T, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"NEXT CLEANERS, KEARNY       NJ, REF NO 5xxxx3504QJSQR2AB, TRAN CD 253 SIC CD 7216",LIVING-EXPENSES
"WHOLEFDS WBG#x0487, BROOKLYN     NY, REF NO 0xxxxxxxx0058X16P, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"LYFT   *RIDE SAT 3PM, xxxxxx0278   CA, REF NO 5xxxx5006JHYQX5T2, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"IPHONE CITIZENSONELOAN, BRIDGEPORT   CT, REF NO 8xxxxx3062NPNW7B1, TRAN CD 253 SIC CD 6012",PHONE
"SEAMLSSAKO, xxxxxx1020   NY, REF NO 5xxxx5005LW68YGT2, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"UBER TECHNOLOGIES INC, xxx-xxx-1039 CA, REF NO 5xxxxx6055SNAE3HQ, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"UBER TECHNOLOGIES INC, xxx-xxx-1039 CA, REF NO 5xxxxx6055SNAQ4XX, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"NEXT CLEANERS, KEARNY       NJ, REF NO 5xxxx3505QJSQR2HA, TRAN CD 253 SIC CD 7216",LIVING-EXPENSES
"FEDERAL TAX WITHHELD, ZDDxx5115, SYSTEM GENERATED 2xxx-x1-07T00:00:00.000Z",MISC
"INTEREST PAID FROM,            12/06/18 THRU 01/06/19, ZDDxx5115, SYSTEM GENERATED 2xxx-x1-07T00:00:00.000Z",MISC
"GLOBAL TRANSFER,            GPEX5PF4K5, IBxxx8642, INTERNET BANKING 2xxx-x1-07T00:00:00.000Z",HELPING MUM
"PAYMENT TO VENMO-PAYMENT, YPExx5818, SYSTEM GENERATED 2xxx-x1-07T00:00:00.000Z",TRANSFER
"PAYMENT TO VENMO-PAYMENT, YPExx5817, SYSTEM GENERATED 2xxx-x1-07T00:00:00.000Z",TRANSFER
"APL*APPLE ONLINE STORE, xxx-xxx-2775 CA, REF NO 5xxxxx6085V32GXZK, TRAN CD 255 SIC CD 5732",MISC
"RIDESHARE BENEFIT, , REF NO Fxxxxxxx8000R2999, TRAN CD 271 SIC CD 5999",LIVING-EXPENSES
"RIDESHARE BENEFIT, , REF NO Fxxxxxxx8000R2999, TRAN CD 271 SIC CD 5999",LIVING-EXPENSES
"RIDESHARE BENEFIT, , REF NO Fxxxxxxx8000R2999, TRAN CD 271 SIC CD 5999",LIVING-EXPENSES
"SQU*SQ *DR SMOOD LEXIN, NEW YORK     NY, REF NO 5xxxxx6075V0P5G2B, TRAN CD 253 SIC CD 5812",MISC
"APL*ITUNES.COM/BILL, xxx-xxx-2273 CA, REF NO 5xxxxx6075SYWGHNT, TRAN CD 253 SIC CD 5734",TRANSFER
"SEAMLSSINDIANKITCHEN, xxxxxx1020   NY, REF NO 5xxxx5007LRJSR6ZF, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
