text,label
"MARTHA S COUNTRY BAKER, BROOKLYN     NY, REF NO 7xxx6372K10D419PE, TRAN CD 253 SIC CD 5812",ENTERTAINMENT
"MEMBERSHIP - NORTH BRO, xxxxxxx8625  NY, REF NO 5xxx9502GJJ35QDD7, TRAN CD 253 SIC CD 7372",LIVING-EXPENSES
"OPS, BROOKLYN     NY, REF NO 8xxx3312QLQ027NQT, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"CITYMD - NY25, BROOKLYN     NY, REF NO 8xxx6672D0DRQNR68, TRAN CD 253 SIC CD 8011",LIVING-EXPENSES
"THE HIVE, BROOKLYN     NY, REF NO 8xxx3312QLQ1AHQY1, TRAN CD 253 SIC CD 5812",ENTERTAINMENT
"ONLINE TRANSFER TO,            CHK xxxxx8911,            ON 03/01/2019,            HIB- 1xxxx6742XUHGRVYD2H, IBxxx9207, INTERNET BANKING 2xxx-x3-01T00:00:00.000Z",TRANSFER
"HMD* VOGUE, xxx-xxx-2347 DE, REF NO 5xxxxx6365SMEXPZ1, TRAN CD 253 SIC CD 5968",MISC
PURCHASE - DRUNKSHAKESPEARE         xxxxxx7865   NY,LIVING-EXPENSES
PURCHASE - SP * VARIOUS KEYTAGS     xxxxxx5599   NY,MISC
"PURCHASE - LYNDA.COM, INC.          xxx-xxx9632  CA",MISC
GLOBAL TRANSFER WITH GB - REFERENCE NUMBER GPEVPV30FZ,MISC
PURCHASE - EASE NY LLC              NEW YORK     NY,MISC
PURCHASE - BB *NEW MUSEUM           NEW YORK     NY,ENTERTAINMENT
PURCHASE - APL*APPLE ONLINE STORE   xxx-xxx-2775 CA,MISC
PURCHASE - DUANE READE #x4429       BROOKLYN     NY,LIVING-EXPENSES
"DIVIERA DRIVE, BROOKLYN     NY, REF NO 7xx0637KA9EVPJ5EL, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"Check #232, YCCSx1345, SYSTEM GENERATED 2xxx-x1-14T00:00:00.000Z",MISC
"NYCDOT PARKING METERS, LONG IS CITY NY, REF NO 5xx3300NH7YEE4RF9, TRAN CD 253 SIC CD 7523",LIVING-EXPENSES
"MEDIUM ANNUAL, xxxxxxx5008  CA, REF NO 5xxxx5003JHT6DK0Z, TRAN CD 253 SIC CD 8999",LIVING-EXPENSES
"AMAZON PRIME, AMZN.COM/BILLWA, REF NO 5xxx2860S5SZ0HZDY, TRAN CD 253 SIC CD 5968",MISC
"QUIP NYC INC, xxxxxx7847   NY, REF NO 5xxxx5016JH97PTBS, TRAN CD 253 SIC CD 7298",LIVING-EXPENSES
"NYCTAXI3E65, NEW YORK     NY, REF NO 0xxx0191K2KV0TVVA, TRAN CD 253 SIC CD 4121",MISC
"QUIP NYC INC, xxxxxx7847   NY, REF NO 5xxx9501PJHYVDDVL, TRAN CD 253 SIC CD 7298",LIVING-EXPENSES
"SEAMLSSINDIANKITCHEN, xxxxxx1020   NY, REF NO 5xxx9501RLVWLVJ20, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"LYFT   *RIDE SUN 3PM, xxxxxx0278   CA, REF NO 5xxx9501RJJ0HSLM6, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"SEAMLSSJUNIPER, xxxxxx1020   NY, REF NO 5xxx9501YLWH3KK1N, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"CITYMD - NY25, BROOKLYN     NY, REF NO 8xxx6672D0DRQNR68, TRAN CD 253 SIC CD 8011",LIVING-EXPENSES
"SP * COCLICO, xxxxxx5462   NY, REF NO 5xxxx5032JHY7Z9MD, TRAN CD 253 SIC CD 5734",MISC
"FINANCIER PATISSERIE, NEW YORK     NY, REF NO 2xxx0102Y000A543W, TRAN CD 253 SIC CD 5462",MISC
"GLOBAL TRANSFER,            GPIXVWLFCH, IBxxx3639, INTERNET BANKING 2xxx-x3-28T00:00:00.000Z",MISC
PURCHASE - SEAMLSSURBANRUSTICMAR    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - RADEGAST HALL & BIERGA   BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - SEAMLSSABSOLUTETHAI      xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - UNIQLO BROOKLYN #3008    BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - SEAMLSSHAABMEXICANRES    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - TAAM TOV                 NEW YORK     NY,ENTERTAINMENT
